Designator;Comment;Description;Quantity;Footprint Name;Order from;Manufacturer;Manufacturer Part Number

"C1, C2, C24";"470 nF";"Capacitor, MLCC, 0805";"3";"0805";"Reichelt";"";""
"C3, C29, C38, C40, C41, C42, C43, C53, C59, C60, C61, C77";"100 nF";"Capacitor, MLCC, 0805";"12";"0805";"Reichelt";"";""
"C4, C5";"1 nF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C6, C7, C8, C10, C11, C12, C13, C14, C15, C16, C17, C18, C28, C47, C48, C50, C51, C52, C55, C56, C57, C58, C64, C65, C66, C67";"10 uF";"Capacitor, MLCC, 0805";"26";"0805";"Reichelt";"";""
"C9";"47 uF";"Capacitor; Alum Electrolytic; Cap 47 uF; Tol 20%; Vol-Rtg 50 VDC; SMT; 6.3x5.8; CT";"1";"6.3x5.8";"Reichelt";"";""
"C19, C73, C74, C75, C76, C79, C80";"10 nF";"Capacitor, MLCC, 0805";"7";"0805";"Reichelt";"";""
"C20, C21";"47 nF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C22, C23";"15 nF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C25, C26";"150 pF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C27, C30";"1 uF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C31";"33 pF";"Capacitor, MLCC, 0805";"1";"0805";"Reichelt";"";""
"C32";"680 pF";"Capacitor, MLCC, 0805";"1";"0805";"Reichelt";"";""
"C33, C69";"2.2 uF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C34";"1.8 nF";"Capacitor, MLCC, 0805";"1";"0805";"Reichelt";"";""
"C35";"15 pF";"Capacitor, MLCC, 0805";"1";"0805";"Reichelt";"";""
"C36";"100 pF";"Capacitor, MLCC, 0805";"1";"0805";"Reichelt";"";""
"C37";"22 pF";"Capacitor, MLCC, 0805";"1";"0805";"Reichelt";"";""
"C39, C46, C62, C68, C70, C72, C78";"1.0 uF";"Capacitor, MLCC, 0805";"7";"0805";"Reichelt";"";""
"C44, C45";"220 pF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C49, C71";"4.7 uF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"C54, C63";"10 pF";"Capacitor, MLCC, 0805";"2";"0805";"Reichelt";"";""
"K1";"Molex 22-05-7065";"2.50mm Pitch SPOX Wire-to-Board Header, Right Angle, Shrouded, Friction Lock, 6 Circuits";"1";"";"Reichelt";"";""
"K5";"Molex 22-03-5045";"Headers & Wire Housings 2.5 VERT HDR SPOX 4P shrouded";"1";"";"Reichelt";"";"22-03-5045"
"LED1";"Würth Elektronik 150060GS75000";"Led, Green, 520 Nm, 3.2 V, 30 Ma, 430 Mcd Rohs Compliant: Yes";"1";"0603";"Reichelt";"";"150060GS75000"
"LED2";"Würth Elektronik 150060RS75000";"Led, Red, 2.0 V, 30 Ma, 430 Mcd Rohs Compliant: Yes";"1";"0603";"Reichelt";"";"150060S75000"
"Q6, Q7";"International Rectifier IRLML2502TRPBF";"Single N-Channel 20 V 1.25 W 8 nC Hexfet Power Mosfet Surface Mount - MICRO-3";"2";"SOT-23";"Reichelt";"";"IRLML2502TRPBF"
"R1, R2";"3.3 kO";"RESISTOR, 0805";"2";"0805";"Reichelt";"";""
"R3, R5";"20.0 O";"Thick Film Resistors - SMD 1206 20ohms 1% Tolerance";"2";"1206";"Reichelt";"";"ERJ-8ENF20R0V"
"R4, R19, R32, R39, R40";"10 kO";"RESISTOR, 0805";"5";"0805";"Reichelt";"";""
"R6, R7";"200.0 O";"Thick Film Resistors - SMD 1206 200ohms 1% Tolerance";"2";"1206";"Reichelt";"";"ERJ-8ENF2000V"
"R10, R11, R14, R15, R17, R24";"10 O";"RESISTOR, 0805";"6";"0805";"Reichelt";"";""
"R12";"1.0 O";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R16";"270 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R18";"390 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R20";"40.2 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R21";"137 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R22";"120 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R23, R27, R33, R41";"100 kO";"RESISTOR, 0805";"4";"0805";"Reichelt";"";""
"R25";"68 O";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R26";"1.00 kO";"Surface Mount Thin Film Resistor, AEC-Q200 ERA Series, 1 kohm, 125 mW, - 0.1%, 100 V";"1";"0805";"Reichelt";"";"ERA6AEB102V"
"R28, R29, R35, R36, R37, R38";"100 O";"RESISTOR, 0805";"6";"0805";"Reichelt";"";""
"R30, R42, R43, R45, R46, R47, R48, R55, R56";"0.0 O";"RESISTOR, 0805";"9";"0805";"Reichelt";"";""
"R31";"1 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R34";"2.2 O";"Thick Film Resistors - SMD 0805 2.2ohms 1% Tol";"1";"0805";"Reichelt";"";""
"R44";"16 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R49, R51";"124 kO";"RESISTOR, 0805";"2";"0805";"Reichelt";"";""
"R50, R52";"22.1 kO";"RESISTOR, 0805";"2";"0805";"Reichelt";"";""
"R53";"110 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R54";"360 kO";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"R57";"2.2 O";"RESISTOR, 0805";"1";"0805";"Reichelt";"";""
"K2";"632723300011";"USB 3.1 Type C Receptacle WR-COM, Horizontal, SMT / THT, PCB thickness 1.6mm";"1";"";"Mouser";"Würth";"632723300011"
"K3, K4";"USB-A";"Conn Rcpt USB2.0 Typea 4POS R/a";"2";"";"Mouser";"";"614004160211"
"L1";"2.2 uH";"SMD Power Inductor WE-LHMI, L=2.2 uH";"1";"1040";"Mouser";"Wuerth";"74437368022"
"L2, L3";"3.3 uH";"Surface Mount Power Inductor, We-Lhmi Series, 3.3 H, 20%, Shielded, 0.038 Ohm, 4.1 A Rohs Compliant: Yes";"2";"5030";"Mouser";"";"74437336033"
"Q1, Q2, Q3, Q4";"Texas Instruments CSD17551Q3A";"Trans MOSFET N-CH 30V 48A 8-Pin VSONP EP T/R";"4";"";"Mouser";"";"CSD17551Q3A"
"Q5";"Texas Instruments CSD25402Q3A";"MOSFET Transistor, P Channel, -35 A, -20 V, 0.0077 ohm, -4.5 V, 900 mV";"1";"";"Mouser";"";"CSD25402Q3A"
"R8";"5 mO";"Res Metal Strip 0612 0.005 Ohm 1% 1W ±150ppm/C Wide Terminal SMD Automotive T/R";"1";"";"Mouser";"";""
"R9, R13";"10 mO";"Res 0.01 Ohm 1% 1W 1206";"2";"";"Mouser";"";"CRK0612-FZ-R010E"
"SW1";"Würth Elektronik 434331045822";"Tact Switch 3.5x4.7mm Black Side push";"1";"";"Mouser";"";"434331045822"
"U1";"MAX17205G+";"Stand-Alone Model Gauge m5 Fuel Gauge  with SHA-256 Authentication";"1";"QFN";"Mouser";"";"MAX17205G+"
"U2";"BQ25700ARSNR";"NVDC SMBus Battery Buck-Boost Charge Controller with System Power Monitor & Processor 32-QFN -40 to 85";"1";"";"Mouser";"";"BQ25700ARSNR"
"U3";"STM32L071KZU6";"MCU 32-Bit Ultra Low Power STM32L ARM Cortex M0+ RISC 192kB Flash 32-Pin UFQFPN Tray";"1";"QFN";"Mouser";"";"STM32L071KZU6"
"U4";"TPS65987DDHRSHT";"USB Type-C and USB PD Controller With Integrated Power Switches 56-VQFN -40 to 85";"1";"QFN";"Mouser";"";"TPS65987DDHRSHT"
"U5";"TPS54295PWPR";"Conv DC-DC 4.5V to 18V Synchronous Step Down Dual-Out 0.76V to 7V 2A/2A 16-Pin HTSSOP EP T/R";"1";"TSSOP";"Mouser";"";"TPS54295PWPR"
"U6";"LDL212DR";"Low Dropout Regulators(LDO) Positive Adjustable 600mV @ 1.2A 18V 1.18V 1.2A SOIC-8_150mil RoHS";"1";"SOIC";"Mouser";"";"LDL212DR"
"U7";"LDF33DT";"Fixed Ldo Voltage Regulator, 2.6V To 16V, 200Mv Dropout, 3.3Vout, 1Aout, To-252-3 Rohs Compliant: Yes";"1";"TO-252";"Mouser";"";"LDF33DT"
"U8";"TPD6S300RUKR";"USB Type-C port protector: short-to-VBUS overvoltage and 6-ch ESD protection 20-WQFN -40 to 85";"1";"QFN";"Mouser";"";"TPD6S300RUKR"
